word,countrycode,year,month,day,hour,minute,second,recognized,c1,c2,c3,c4,c5,c6,c7,c8,c9
1,235,2017,03,08,21,12,7,1,22,24,0,42,61,58,31,34,0
1,39,2017,03,06,21,39,4,0,1,2,6,48,70,36,10,3,3
1,235,2017,03,23,02,08,35,1,0,12,0,32,57,39,0,19,0
1,235,2017,03,10,00,35,17,1,0,25,0,43,36,18,3,31,0
1,108,2017,01,23,18,11,11,1,1,40,8,45,45,55,0,42,4
1,235,2017,03,02,19,06,55,1,0,32,0,39,65,43,0,42,4
1,59,2017,03,27,19,32,38,1,1,30,0,33,55,40,0,31,0
1,13,2017,03,29,09,25,50,1,0,0,0,46,64,48,0,2,3
1,134,2017,03,25,10,17,56,1,4,27,0,46,54,49,0,28,0
1,31,2017,03,15,23,26,35,1,3,10,2,58,67,44,10,22,0
1,235,2017,03,11,02,19,18,1,0,35,5,50,49,41,4,34,17
1,13,2017,03,01,02,33,27,0,0,0,0,46,63,49,0,3,0
1,235,2017,03,06,23,29,59,1,0,20,19,40,53,42,11,44,11
1,235,2017,03,29,15,08,20,1,0,6,11,54,65,53,24,12,0
1,235,2017,01,29,15,53,16,1,0,36,10,33,61,41,12,46,9
1,234,2017,01,23,12,22,11,1,0,26,5,54,62,72,12,29,6
1,235,2017,03,07,17,27,35,1,0,0,11,33,44,60,0,3,14
1,182,2017,03,18,12,34,36,1,0,12,16,36,61,53,0,24,0
1,201,2017,03,22,21,53,51,1,0,24,0,32,55,27,10,40,0
1,82,2017,01,28,10,19,9,1,11,32,0,26,45,41,18,21,12
1,235,2017,01,26,01,47,20,1,0,12,3,47,65,56,0,3,24
1,39,2017,03,29,00,05,25,1,0,9,2,52,71,51,0,14,2
1,234,2017,03,03,21,26,48,0,6,51,11,22,55,35,27,38,20
1,165,2017,03,27,08,48,56,1,0,20,3,44,52,46,2,29,7
1,235,2017,01,24,17,49,42,1,0,14,0,35,60,54,0,12,8
1,102,2017,03,28,04,42,20,1,0,30,0,31,49,40,0,35,2
1,235,2017,01,23,04,53,4,1,0,4,0,40,65,43,0,11,0
1,235,2017,03,25,17,59,44,1,3,10,0,51,62,42,0,17,0
1,118,2017,03,19,11,22,52,1,0,31,5,54,65,57,7,50,0
1,235,2017,03,15,17,33,30,1,0,32,0,34,63,48,7,38,0
1,235,2017,01,27,19,57,29,1,11,13,0,44,57,35,25,18,0
1,235,2017,03,23,16,57,48,1,7,0,16,38,46,57,0,0,14
1,156,2017,03,26,21,56,17,1,2,8,0,37,62,35,0,12,0
1,233,2017,03,17,04,49,9,1,0,32,0,22,48,50,23,46,4
1,235,2017,03,09,23,58,55,1,0,12,16,36,68,40,0,15,5
1,232,2017,03,03,11,43,29,1,0,38,0,34,61,43,7,27,0
1,234,2017,03,20,10,53,53,1,0,24,19,37,30,30,22,35,29
1,176,2017,03,04,18,39,22,1,22,11,16,44,53,29,21,21,38
1,235,2017,03,19,01,01,0,1,0,15,0,34,57,45,0,19,0
1,108,2017,03,23,19,10,0,1,0,29,17,40,75,48,0,34,9
1,235,2017,03,11,02,23,27,1,16,22,27,39,57,61,9,25,4
1,235,2017,03,13,00,41,41,1,0,22,3,34,65,44,0,29,0
1,234,2017,03,04,11,20,54,1,6,12,0,48,58,42,1,24,5
1,158,2017,03,26,07,39,31,1,0,16,7,37,69,51,0,17,8
1,234,2017,01,25,13,08,32,1,0,30,17,38,60,48,0,5,42
1,235,2017,03,01,16,42,21,1,0,7,3,37,70,55,24,3,0
1,82,2017,01,27,16,12,35,1,0,42,0,31,58,35,0,42,0
1,235,2017,03,09,17,02,16,0,10,31,0,33,42,53,16,37,13
1,74,2017,03,04,09,01,48,1,1,16,11,45,55,59,0,11,32
1,202,2017,03,26,16,52,26,1,8,19,1,42,71,50,0,25,0
1,75,2017,01,27,11,08,40,1,0,5,0,33,65,42,0,10,0
1,235,2017,03,08,14,32,8,1,0,28,0,35,62,32,0,9,21
1,235,2017,01,27,04,24,48,1,0,20,0,50,47,41,0,21,15
1,13,2017,01,28,04,19,39,1,10,27,13,52,54,36,3,28,3
1,235,2017,03,26,23,05,59,1,0,0,8,34,45,64,19,19,11
1,194,2017,01,26,21,08,23,1,5,29,0,46,53,47,2,33,0
1,235,2017,03,26,18,13,26,1,14,6,10,44,66,58,7,8,30
1,234,2017,03,26,16,43,49,1,1,9,0,30,54,36,0,12,0
1,59,2017,03,10,18,46,5,1,0,1,48,28,63,16,44,28,0
1,235,2017,01,25,03,43,12,1,4,42,0,38,48,54,0,45,10
1,235,2017,03,07,00,27,42,0,0,0,0,38,62,40,0,6,0
1,235,2017,03,10,16,14,38,1,0,26,22,28,55,38,32,37,1
1,82,2017,03,14,10,26,7,1,0,9,2,38,68,43,0,18,0
1,220,2017,01,31,06,31,11,1,7,10,10,59,45,48,6,22,8
1,234,2017,03,09,06,56,20,1,30,20,6,21,53,43,15,11,0
1,235,2017,01,26,17,16,6,1,0,15,0,33,49,50,12,20,0
1,194,2017,03,18,11,11,14,1,0,13,6,55,44,47,3,22,13
1,179,2017,03,28,11,56,50,1,0,22,0,39,58,50,0,27,0
1,235,2017,03,10,20,13,45,1,0,0,21,15,13,22,28,31,8
1,235,2017,03,02,14,40,32,0,0,2,0,31,68,32,2,11,0
1,234,2017,03,03,14,56,55,0,0,7,2,49,63,64,7,14,0
1,75,2017,03,08,13,23,18,1,5,9,8,37,58,43,0,6,8
1,75,2017,03,26,18,50,33,1,40,9,0,23,58,40,0,23,39
1,235,2017,03,13,04,25,27,1,5,26,11,60,47,49,18,23,18
1,235,2017,03,26,17,32,43,1,6,22,16,37,61,65,0,27,2
1,235,2017,01,23,23,28,2,1,11,0,0,56,40,21,2,27,23
1,235,2017,01,30,21,33,5,1,7,22,2,38,54,33,0,36,28
1,235,2017,01,31,02,47,43,1,14,19,0,58,71,43,11,30,0
1,108,2017,03,15,16,49,8,1,0,9,37,38,53,48,0,6,50
1,75,2017,03,22,09,37,4,1,0,28,0,37,60,32,0,27,0
1,138,2017,03,28,02,24,6,1,7,17,0,49,62,42,0,21,0
1,182,2017,03,16,17,41,10,1,0,12,2,46,75,58,0,18,0
1,235,2017,01,24,22,11,22,1,5,28,0,43,49,48,0,28,19
1,235,2017,03,07,19,08,32,0,29,25,49,28,79,25,41,24,12
1,235,2017,03,02,21,04,19,1,28,14,24,33,66,25,0,32,20
1,31,2017,01,25,22,21,2,1,5,26,1,26,63,49,8,30,0
1,165,2017,01,23,16,08,54,1,0,10,0,32,48,37,0,12,3
1,234,2017,03,11,21,51,10,1,0,13,34,37,51,40,0,33,0
1,235,2017,01,23,18,52,8,1,0,18,0,34,51,45,0,24,3
1,215,2017,03,15,21,26,8,1,19,24,0,29,63,20,37,23,34
1,235,2017,03,10,04,43,16,0,0,38,0,9,41,16,2,58,4
1,220,2017,03,15,12,57,25,1,11,14,12,44,64,49,5,21,0
1,235,2017,03,12,01,21,56,1,5,37,30,27,26,40,21,46,0
1,109,2017,01,23,14,27,20,1,2,32,7,37,52,42,0,19,29
1,118,2017,03,19,05,27,49,1,0,29,30,39,61,28,0,36,0
1,235,2017,01,24,13,30,27,1,0,0,5,31,57,56,0,3,9
1,75,2017,03,05,17,55,5,1,0,43,0,41,39,47,5,47,13
1,39,2017,03,09,02,50,38,1,0,30,17,46,56,53,38,2,1
1,234,2017,03,12,22,56,24,1,0,0,12,43,47,36,5,11,0
